NDM@IC3@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.14
NDM@IC8@SIO5@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 8.1 3ος ΚΤ-2Κ
NDM@IC1@SIO8@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡ. Α' ΥΠ. 3.29
NDM@IC8@SIO2@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 9.2 4ος ΚΤ-1
NDM@IC2@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 4ος ΚΤ-2
NDM@IC2@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 3ος ΚΤ-2
NDM@IC4@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΚΛΙΜΑΤΙΣΜΟΣ R3.6
NDM@IC1@SIO2@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 8.3 3ος ΚΤ-1
NDM@IC2@SIO8@R1	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 5.2 Β' ΙΣ. ΚΤ-2K
NDM@IC8@SIO4@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 5.2 Β'ΙΣ. ΚΤ-2
NDM@IC4@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ ΤΠΕ
NDM@IC1@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 4ος  ΚΤ-1
NDM@IC5@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.14
NDM@IC5@SIO5@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΚΛΙΜΑΤΙΣΜΟΣ R3.1
NDM@IC2@SIO5@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 5.1 Β' ΙΣ. ΚΤ-2
NDM@IC8@SIO5@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 9.1 4ος ΚΤ-2Κ
NDM@IC3@SIO2@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R3.2
NDM@IC4@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ
NDM@IC5@SIO1@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΜΗΧΑΝΟΣΤΑΣΙΟ
